date,Hour,Load_Station1,Load_Station2
1402/01/01,1,12.2759,11.57795
1402/01/02,1,12.427619,11.343362
1402/01/03,1,12.198634,11.409339
1402/01/04,1,12.148107,11.797877
1402/01/05,1,12.245465,11.546183
1402/01/06,1,12.070288,11.60483
1402/01/07,1,12.1246,11.634155
1402/01/08,1,6.440229,11.670809
1402/01/09,1,11.966925,11.551071
1402/01/10,1,12.620484,11.92006
1402/01/11,1,14.907783,11.9616
1402/01/12,1,16.965175,11.783215
1402/01/13,1,15.79393,11.805208
1402/01/14,1,16.717441,11.196744
1402/01/15,1,14.417718,11.736787
1402/01/16,1,12.238998,11.983594
1402/01/17,1,21.640593,11.250503
1402/01/18,1,21.52236,11.536409
1402/01/19,1,12.237613,11.57795
1402/01/20,1,10.909711,11.614604
1402/01/21,1,16.381261,11.538851
1402/01/22,1,16.865925,11.922503
1402/01/23,1,16.514367,11.367797
1402/01/24,1,10.889803,11.353135
1402/01/25,1,6.510983,11.392235
1402/01/26,1,4.13478,11.533965
1402/01/27,1,6.294009,11.43622
1402/01/28,1,16.145119,11.924946
1402/01/29,1,16.968686,11.624379
1402/01/30,1,16.950025,11.885848
1402/01/31,1,11.293136,11.888292
1402/02/01,1,5.981845,11.812539
1402/02/02,1,10.080833,11.502198
1402/02/03,1,16.246495,11.489979
1402/02/04,1,12.586217,11.482649
1402/02/05,1,12.249344,11.394677
1402/02/06,1,16.071685,11.531521
1402/02/07,1,14.172385,11.502197
1402/02/08,1,16.817985,11.35558
1402/02/09,1,16.544062,11.582838
1402/02/10,1,17.382871,11.382459
1402/02/11,1,14.682771,11.47043
1402/02/12,1,16.782283,11.499754
1402/02/13,1,6.701126,11.538852
1402/02/14,1,16.550205,11.504642
1402/02/15,1,16.498523,11.624379
1402/02/16,1,16.383431,11.602386
1402/02/17,1,16.916774,11.541296
1402/02/18,1,11.771841,11.502198
1402/02/19,1,17.03025,11.35558
1402/02/20,1,11.563871,11.348248
1402/02/21,1,17.03122,11.377572
1402/02/22,1,17.437181,11.453325
1402/02/23,1,14.624719,11.299376
1402/02/24,1,12.44637,11.406896
1402/02/25,1,17.112274,11.485092
1402/02/26,1,11.61352,11.516859
1402/02/27,1,17.377835,11.44355
1402/02/28,1,17.082345,11.392233
1402/02/29,1,17.119477,11.533965
1402/02/30,1,16.688899,11.695244
1402/02/31,1,17.108071,11.683027
1402/03/01,1,17.052555,11.705019
1402/03/02,1,9.813471,11.65859
1402/03/03,1,10.635234,11.604831
1402/03/04,1,17.460736,11.617048
1402/03/05,1,16.148676,11.639041
1402/03/06,1,11.457877,11.507085
1402/03/07,1,6.898382,11.626823
1402/03/08,1,5.771381,11.573062
1402/03/09,1,5.903286,11.634155
1402/03/10,1,5.802234,11.692802
1402/03/11,1,1.256827,11.612161
1402/03/12,1,5.764084,11.712351
1402/03/13,1,5.960463,11.592612
1402/03/14,1,6.698217,11.744118
1402/03/15,1,6.246992,11.802764
1402/03/16,1,6.161781,11.832089
1402/03/17,1,5.877422,11.780771
1402/03/18,1,5.866801,11.90051
1402/03/19,1,10.425047,11.951827
1402/03/20,1,6.626538,11.883406
1402/03/21,1,21.306262,11.749005
1402/03/22,1,21.686501,11.863855
1402/03/23,1,19.924553,11.797877
1402/03/24,1,12.739504,11.841862
1402/03/25,1,21.663408,11.876073
1402/03/26,1,21.618055,11.851637
1402/03/27,1,21.681421,11.805208
1402/03/28,1,22.230974,11.917616
1402/03/29,1,21.741969,11.885849
1402/03/30,1,22.072098,11.790547
1402/03/31,1,17.794376,11.902954
1398/01/01,1,15.414984,8.565044
1398/01/02,1,0.0,0.0
1398/01/03,1,12.265972,8.653212
1398/01/04,1,11.887348,8.689768
1398/01/05,1,13.214604,9.008028
1398/01/06,1,12.48498,8.97792
1398/01/07,1,11.935288,9.431656
1398/01/08,1,11.383428,9.655296
1398/01/09,1,6.622108,9.431656
1398/01/10,1,12.682188,9.973556
1398/01/11,1,6.10156,9.956352
1398/01/12,1,5.317296,9.29188
1398/01/13,1,10.86394,8.954268
1398/01/14,1,12.981652,9.616588
1398/01/15,1,12.49528,9.597236
1398/01/16,1,12.315112,9.210164
1398/01/17,1,12.124876,8.666112
1398/01/18,1,2.517484,9.709056
1398/01/19,1,6.062904,9.371444
1398/01/20,1,5.926888,9.541324
1398/01/21,1,2.009316,9.971404
1398/01/22,1,5.619804,9.863888
1398/01/23,1,5.675552,10.132684
1398/01/24,1,5.5545,9.418752
1398/01/25,1,10.327596,9.6768
1398/01/26,1,6.901892,9.362844
1398/01/27,1,14.390424,9.823028
1398/01/28,1,17.860096,9.969256
1398/01/29,1,21.485832,9.803676
1398/01/30,1,17.874228,10.076776
1398/01/31,1,17.009376,10.190748
1398/02/01,1,17.817372,10.083228
1398/02/02,1,17.593888,9.777868
1398/02/03,1,17.327448,8.54784
1398/02/04,1,17.803336,8.653212
1398/02/05,1,22.238916,8.689768
1398/02/06,1,17.716276,9.008028
1398/02/07,1,22.074732,8.97792
1398/02/08,1,13.04834,9.431656
1398/02/09,1,22.22908,9.655296
1398/02/10,1,22.317248,9.431656
1398/02/11,1,16.957464,9.973556
1398/02/12,1,17.934176,9.956352
1398/02/13,1,18.385032,9.29188
1398/02/14,1,7.059336,8.954268
1398/02/15,1,18.110184,9.616588
1398/02/16,1,18.869556,9.597236
1398/02/17,1,22.6701,9.210164
1398/02/18,1,18.041832,8.666112
1398/02/19,1,22.475472,9.709056
1398/02/20,1,22.597404,9.371444
1398/02/21,1,18.223156,9.541324
1398/02/22,1,18.038832,9.971404
1398/02/23,1,18.192764,9.863888
1398/02/24,1,17.948172,10.132684
1398/02/25,1,18.282224,9.418752
1398/02/26,1,18.076656,9.6768
1398/02/27,1,16.481572,9.362844
1398/02/28,1,22.794704,9.823028
1398/02/29,1,17.679096,9.969256
1398/02/30,1,18.177752,9.803676
1398/02/31,1,18.05158,10.076776
1398/03/01,1,12.250176,10.190748
1398/03/02,1,23.018976,10.083228
